model,scenario,season_year,season,count,interval_name,variable
MIROC-ESM-CHEM,historical,2000,JJA,7,Tmax 26–29°C,tmax
MIROC-ESM-CHEM,historical,2001,JJA,4,Tmax 26–29°C,tmax
MIROC-ESM-CHEM,historical,2002,JJA,2,Tmax 26–29°C,tmax
MIROC-ESM-CHEM,historical,2003,JJA,5,Tmax 26–29°C,tmax
MIROC-ESM-CHEM,historical,2004,JJA,8,Tmax 26–29°C,tmax
MIROC-ESM-CHEM,historical,2005,JJA,3,Tmax 26–29°C,tmax
MIROC5,historical,2000,JJA,4,Tmax 26–29°C,tmax
MIROC5,historical,2001,JJA,2,Tmax 26–29°C,tmax
MIROC5,historical,2002,JJA,2,Tmax 26–29°C,tmax
MIROC5,historical,2003,JJA,5,Tmax 26–29°C,tmax
MIROC5,historical,2004,JJA,4,Tmax 26–29°C,tmax
MIROC5,historical,2005,JJA,3,Tmax 26–29°C,tmax
MPI-ESM-LR,historical,2001,JJA,7,Tmax 26–29°C,tmax
MPI-ESM-LR,historical,2002,JJA,3,Tmax 26–29°C,tmax
MPI-ESM-LR,historical,2003,JJA,8,Tmax 26–29°C,tmax
MPI-ESM-LR,historical,2004,JJA,3,Tmax 26–29°C,tmax
MPI-ESM-LR,historical,2005,JJA,5,Tmax 26–29°C,tmax
MPI-ESM-MR,historical,2000,JJA,1,Tmax 26–29°C,tmax
MPI-ESM-MR,historical,2001,JJA,1,Tmax 26–29°C,tmax
MPI-ESM-MR,historical,2004,JJA,8,Tmax 26–29°C,tmax
MPI-ESM-MR,historical,2005,JJA,3,Tmax 26–29°C,tmax
MRI-CGCM3,historical,2000,JJA,9,Tmax 26–29°C,tmax
MRI-CGCM3,historical,2001,JJA,4,Tmax 26–29°C,tmax
MRI-CGCM3,historical,2002,JJA,9,Tmax 26–29°C,tmax
MRI-CGCM3,historical,2003,JJA,7,Tmax 26–29°C,tmax
MRI-CGCM3,historical,2004,JJA,1,Tmax 26–29°C,tmax
MRI-CGCM3,historical,2005,JJA,3,Tmax 26–29°C,tmax
MRI-ESM1,historical,2000,JJA,5,Tmax 26–29°C,tmax
MRI-ESM1,historical,2001,JJA,3,Tmax 26–29°C,tmax
MRI-ESM1,historical,2002,JJA,6,Tmax 26–29°C,tmax
MRI-ESM1,historical,2003,JJA,5,Tmax 26–29°C,tmax
MRI-ESM1,historical,2004,JJA,7,Tmax 26–29°C,tmax
MRI-ESM1,historical,2005,JJA,3,Tmax 26–29°C,tmax
NorESM1-M,historical,2000,JJA,5,Tmax 26–29°C,tmax
NorESM1-M,historical,2001,JJA,2,Tmax 26–29°C,tmax
NorESM1-M,historical,2002,JJA,4,Tmax 26–29°C,tmax
NorESM1-M,historical,2003,JJA,7,Tmax 26–29°C,tmax
NorESM1-M,historical,2004,JJA,6,Tmax 26–29°C,tmax
NorESM1-M,historical,2005,JJA,3,Tmax 26–29°C,tmax
bcc-csm1-1,historical,2000,JJA,3,Tmax 26–29°C,tmax
