model,scenario,year,count,interval_name,variable
CESM1-CAM5,rcp26,2035,8,pr 50mm,Precipitation
CESM1-CAM5,rcp26,2036,17,pr 50mm,Precipitation
CNRM-CM5,rcp26,2006,18,pr 50mm,Precipitation
CNRM-CM5,rcp26,2007,11,pr 50mm,Precipitation
CNRM-CM5,rcp26,2008,17,pr 50mm,Precipitation
CNRM-CM5,rcp26,2009,6,pr 50mm,Precipitation
CNRM-CM5,rcp26,2010,9,pr 50mm,Precipitation
CNRM-CM5,rcp26,2011,7,pr 50mm,Precipitation
CNRM-CM5,rcp26,2013,8,pr 50mm,Precipitation
CNRM-CM5,rcp26,2015,12,pr 50mm,Precipitation
CNRM-CM5,rcp26,2016,2,pr 50mm,Precipitation
CNRM-CM5,rcp26,2017,10,pr 50mm,Precipitation
CNRM-CM5,rcp26,2018,8,pr 50mm,Precipitation
CNRM-CM5,rcp26,2019,4,pr 50mm,Precipitation
CNRM-CM5,rcp26,2020,16,pr 50mm,Precipitation
CNRM-CM5,rcp26,2021,4,pr 50mm,Precipitation
CNRM-CM5,rcp26,2022,11,pr 50mm,Precipitation
CNRM-CM5,rcp26,2023,10,pr 50mm,Precipitation
CNRM-CM5,rcp26,2024,8,pr 50mm,Precipitation
CNRM-CM5,rcp26,2025,17,pr 50mm,Precipitation
CNRM-CM5,rcp26,2026,7,pr 50mm,Precipitation
CNRM-CM5,rcp26,2027,8,pr 50mm,Precipitation
CNRM-CM5,rcp26,2028,11,pr 50mm,Precipitation
CNRM-CM5,rcp26,2029,9,pr 50mm,Precipitation
CNRM-CM5,rcp26,2030,2,pr 50mm,Precipitation
CNRM-CM5,rcp26,2031,10,pr 50mm,Precipitation
CNRM-CM5,rcp26,2032,17,pr 50mm,Precipitation
CNRM-CM5,rcp26,2033,14,pr 50mm,Precipitation
CNRM-CM5,rcp26,2034,5,pr 50mm,Precipitation
CNRM-CM5,rcp26,2035,7,pr 50mm,Precipitation
CNRM-CM5,rcp26,2036,9,pr 50mm,Precipitation
CSIRO-Mk3-6-0,rcp26,2006,4,pr 50mm,Precipitation
CSIRO-Mk3-6-0,rcp26,2007,6,pr 50mm,Precipitation
CSIRO-Mk3-6-0,rcp26,2008,14,pr 50mm,Precipitation
CSIRO-Mk3-6-0,rcp26,2009,9,pr 50mm,Precipitation
CSIRO-Mk3-6-0,rcp26,2010,9,pr 50mm,Precipitation
CSIRO-Mk3-6-0,rcp26,2011,6,pr 50mm,Precipitation
CSIRO-Mk3-6-0,rcp26,2012,3,pr 50mm,Precipitation
CSIRO-Mk3-6-0,rcp26,2013,5,pr 50mm,Precipitation
CSIRO-Mk3-6-0,rcp26,2014,13,pr 50mm,Precipitation
CSIRO-Mk3-6-0,rcp26,2015,2,pr 50mm,Precipitation
CSIRO-Mk3-6-0,rcp26,2016,7,pr 50mm,Precipitation
CSIRO-Mk3-6-0,rcp26,2017,20,pr 50mm,Precipitation
CSIRO-Mk3-6-0,rcp26,2018,9,pr 50mm,Precipitation
CSIRO-Mk3-6-0,rcp26,2019,6,pr 50mm,Precipitation
CSIRO-Mk3-6-0,rcp26,2020,13,pr 50mm,Precipitation
CSIRO-Mk3-6-0,rcp26,2021,5,pr 50mm,Precipitation
CSIRO-Mk3-6-0,rcp26,2022,6,pr 50mm,Precipitation
CSIRO-Mk3-6-0,rcp26,2023,3,pr 50mm,Precipitation
CSIRO-Mk3-6-0,rcp26,2024,10,pr 50mm,Precipitation
CSIRO-Mk3-6-0,rcp26,2025,10,pr 50mm,Precipitation
CSIRO-Mk3-6-0,rcp26,2026,9,pr 50mm,Precipitation
CSIRO-Mk3-6-0,rcp26,2027,5,pr 50mm,Precipitation
CSIRO-Mk3-6-0,rcp26,2028,7,pr 50mm,Precipitation
CSIRO-Mk3-6-0,rcp26,2029,10,pr 50mm,Precipitation
CSIRO-Mk3-6-0,rcp26,2030,4,pr 50mm,Precipitation
CSIRO-Mk3-6-0,rcp26,2031,8,pr 50mm,Precipitation
CSIRO-Mk3-6-0,rcp26,2032,6,pr 50mm,Precipitation
CSIRO-Mk3-6-0,rcp26,2033,7,pr 50mm,Precipitation
CSIRO-Mk3-6-0,rcp26,2034,12,pr 50mm,Precipitation
CSIRO-Mk3-6-0,rcp26,2035,15,pr 50mm,Precipitation
CSIRO-Mk3-6-0,rcp26,2036,4,pr 50mm,Precipitation
CanESM2,rcp26,2006,14,pr 50mm,Precipitation
CanESM2,rcp26,2007,12,pr 50mm,Precipitation
CanESM2,rcp26,2008,14,pr 50mm,Precipitation
CanESM2,rcp26,2009,6,pr 50mm,Precipitation
CanESM2,rcp26,2010,8,pr 50mm,Precipitation
CanESM2,rcp26,2011,1,pr 50mm,Precipitation
