model,scenario,year,gen_count
IPSL-CM5A-MR,rcp26,2006,7.131163846153846
IPSL-CM5A-MR,rcp26,2007,6.787318769230769
IPSL-CM5A-MR,rcp26,2008,7.5417450769230765
IPSL-CM5A-MR,rcp26,2009,7.559840153846154
IPSL-CM5A-MR,rcp26,2010,7.721756615384614
IPSL-CM5A-MR,rcp26,2011,7.996172615384614
IPSL-CM5A-MR,rcp26,2012,7.619540923076924
IPSL-CM5A-MR,rcp26,2013,7.3248546153846155
IPSL-CM5A-MR,rcp26,2014,7.499865230769231
IPSL-CM5A-MR,rcp26,2015,7.635912615384617
IPSL-CM5A-MR,rcp26,2016,7.785889076923077
IPSL-CM5A-MR,rcp26,2017,8.004562153846152
IPSL-CM5A-MR,rcp26,2018,7.0779303076923075
IPSL-CM5A-MR,rcp26,2019,7.532750153846154
IPSL-CM5A-MR,rcp26,2020,7.213253692307693
IPSL-CM5A-MR,rcp26,2021,7.2768253846153845
IPSL-CM5A-MR,rcp26,2022,7.467336307692307
IPSL-CM5A-MR,rcp26,2023,7.796623538461539
IPSL-CM5A-MR,rcp26,2024,7.612487384615385
IPSL-CM5A-MR,rcp26,2025,7.3682250769230775
IPSL-CM5A-MR,rcp26,2026,7.688952615384615
IPSL-CM5A-MR,rcp26,2027,7.75646
IPSL-CM5A-MR,rcp26,2028,7.832441230769231
IPSL-CM5A-MR,rcp26,2029,7.9267607692307696
IPSL-CM5A-MR,rcp26,2030,7.675411384615384
IPSL-CM5A-MR,rcp26,2031,7.88795353846154
IPSL-CM5A-MR,rcp26,2032,7.756364
IPSL-CM5A-MR,rcp26,2033,7.535399076923077
IPSL-CM5A-MR,rcp26,2034,7.9560975384615364
IPSL-CM5A-MR,rcp26,2035,7.756336307692307
IPSL-CM5A-MR,rcp26,2036,7.56293076923077
MIROC-ESM-CHEM,rcp26,2006,6.800796461538462
MIROC-ESM-CHEM,rcp26,2007,7.369098923076923
MIROC-ESM-CHEM,rcp26,2008,7.313258307692307
MIROC-ESM-CHEM,rcp26,2009,7.728894769230769
MIROC-ESM-CHEM,rcp26,2010,7.140199384615385
MIROC-ESM-CHEM,rcp26,2011,7.315319384615385
MIROC-ESM-CHEM,rcp26,2012,7.564747538461537
