LON,LAT,city,scenario,percentile,source_file,metric,change_pct,duration_day,return_period_yr
121.6,25.05,臺北市,rcp85,5,IDF-CC_臺北市_暴雨改變率_rcp85_第5百分位.csv,rx1day_5yr,-10.53266919,1,5
121.6,25.1,臺北市,rcp85,5,IDF-CC_臺北市_暴雨改變率_rcp85_第5百分位.csv,rx1day_5yr,-11.12045841,1,5
121.6,25.15,臺北市,rcp85,5,IDF-CC_臺北市_暴雨改變率_rcp85_第5百分位.csv,rx1day_5yr,-12.05205839,1,5
121.6,25.2,臺北市,rcp85,5,IDF-CC_臺北市_暴雨改變率_rcp85_第5百分位.csv,rx1day_5yr,-12.06655551,1,5
121.6,25.0,臺北市,rcp85,5,IDF-CC_臺北市_暴雨改變率_rcp85_第5百分位.csv,rx1day_5yr,-9.861066288,1,5
121.65,25.05,臺北市,rcp85,5,IDF-CC_臺北市_暴雨改變率_rcp85_第5百分位.csv,rx1day_5yr,-11.96494518,1,5
121.65,25.1,臺北市,rcp85,5,IDF-CC_臺北市_暴雨改變率_rcp85_第5百分位.csv,rx1day_5yr,-12.28629447,1,5
121.65,25.0,臺北市,rcp85,5,IDF-CC_臺北市_暴雨改變率_rcp85_第5百分位.csv,rx1day_5yr,-9.620371193,1,5
121.45,25.1,臺北市,rcp85,75,IDF-CC_臺北市_暴雨改變率_rcp85_第75百分位.csv,rx1day_5yr,35.02382179,1,5
121.45,25.15,臺北市,rcp85,75,IDF-CC_臺北市_暴雨改變率_rcp85_第75百分位.csv,rx1day_5yr,33.07135487,1,5
121.5,25.05,臺北市,rcp85,75,IDF-CC_臺北市_暴雨改變率_rcp85_第75百分位.csv,rx1day_5yr,35.11241103,1,5
121.5,25.1,臺北市,rcp85,75,IDF-CC_臺北市_暴雨改變率_rcp85_第75百分位.csv,rx1day_5yr,34.97468327,1,5
121.5,25.15,臺北市,rcp85,75,IDF-CC_臺北市_暴雨改變率_rcp85_第75百分位.csv,rx1day_5yr,32.59780587,1,5
121.5,25.2,臺北市,rcp85,75,IDF-CC_臺北市_暴雨改變率_rcp85_第75百分位.csv,rx1day_5yr,34.5001629,1,5
121.5,25.0,臺北市,rcp85,75,IDF-CC_臺北市_暴雨改變率_rcp85_第75百分位.csv,rx1day_5yr,36.1617396,1,5
121.55,24.95,臺北市,rcp85,75,IDF-CC_臺北市_暴雨改變率_rcp85_第75百分位.csv,rx1day_5yr,38.23464997,1,5
121.55,25.05,臺北市,rcp85,75,IDF-CC_臺北市_暴雨改變率_rcp85_第75百分位.csv,rx1day_5yr,36.71249605,1,5
121.55,25.1,臺北市,rcp85,75,IDF-CC_臺北市_暴雨改變率_rcp85_第75百分位.csv,rx1day_5yr,35.74663765,1,5
121.55,25.15,臺北市,rcp85,75,IDF-CC_臺北市_暴雨改變率_rcp85_第75百分位.csv,rx1day_5yr,30.35410241,1,5
121.55,25.2,臺北市,rcp85,75,IDF-CC_臺北市_暴雨改變率_rcp85_第75百分位.csv,rx1day_5yr,31.37059383,1,5
