organism,scenario,bio_year,season_group,ensemble_dd_share,ensemble_seasonal_dd,n_models
Aedes aegypti,rcp85,2027,May-Oct,65.47128955973957,3288.6222440173938,30
Aedes aegypti,rcp85,2027,Nov-Apr,34.52871044026042,1741.8140071033818,30
Aedes aegypti,rcp85,2028,May-Oct,65.40342817912396,3302.2248813854153,30
Aedes aegypti,rcp85,2028,Nov-Apr,34.59657182087604,1751.597622725158,30
Aedes aegypti,rcp85,2029,May-Oct,65.05318584143365,3309.7598884842487,30
Aedes aegypti,rcp85,2029,Nov-Apr,34.946814158566355,1785.4066190416581,30
Aedes aegypti,rcp85,2030,May-Oct,65.82213165820151,3337.0410430481083,30
Aedes aegypti,rcp85,2030,Nov-Apr,34.17786834179848,1738.3952473093473,30
Aedes aegypti,rcp85,2031,May-Oct,66.02839113516617,3308.4807980603787,30
Aedes aegypti,rcp85,2031,Nov-Apr,33.97160886483383,1712.5723922085758,30
Aedes aegypti,rcp85,2032,May-Oct,65.07664954944745,3296.0273115802324,30
Aedes aegypti,rcp85,2032,Nov-Apr,34.92335045055255,1773.44389500482,30
Aedes aegypti,rcp85,2033,May-Oct,65.13611723795562,3331.733034026698,30
Aedes aegypti,rcp85,2033,Nov-Apr,34.863882762044376,1787.448868071872,30
Aedes aegypti,rcp85,2034,May-Oct,65.76749711386793,3310.0554158051605,30
Aedes aegypti,rcp85,2034,Nov-Apr,34.232502886132075,1728.7489151306083,30
Aedes aegypti,rcp85,2035,May-Oct,65.7283035848875,3309.6169480059866,30
Aedes aegypti,rcp85,2035,Nov-Apr,34.27169641511251,1732.0205932994509,30
Aedes albopictus,historical,2004,May-Oct,63.25773728077944,3786.8647250698014,31
Aedes albopictus,historical,2004,Nov-Apr,36.74226271922056,2200.3047416445534,31
Aedes albopictus,rcp26,2006,May-Oct,63.44596474918946,3794.827002754488,20
Aedes albopictus,rcp26,2006,Nov-Apr,36.55403525081054,2192.022200010094,20
Aedes albopictus,rcp26,2007,May-Oct,62.941140480555724,3763.1785084757707,20
Aedes albopictus,rcp26,2007,Nov-Apr,37.05885951944427,2220.201944185212,20
Aedes albopictus,rcp26,2008,May-Oct,63.1495403307548,3812.928719665614,20
Aedes albopictus,rcp26,2008,Nov-Apr,36.85045966924518,2227.8971175312977,20
Aedes albopictus,rcp26,2009,May-Oct,63.36192742640085,3812.198655351544,20
Aedes albopictus,rcp26,2009,Nov-Apr,36.63807257359916,2207.376763793842,20
Aedes albopictus,rcp26,2010,May-Oct,63.13485546420765,3811.2514857152005,20
Aedes albopictus,rcp26,2010,Nov-Apr,36.865144535792346,2228.5656077412796,20
Aedes albopictus,rcp26,2011,May-Oct,62.63103386948584,3819.013299881318,20
Aedes albopictus,rcp26,2011,Nov-Apr,37.36896613051416,2282.974508856699,20
Aedes albopictus,rcp26,2012,May-Oct,62.82162997801743,3866.367577843363,20
Aedes albopictus,rcp26,2012,Nov-Apr,37.17837002198258,2292.5814969313096,20
Aedes albopictus,rcp26,2013,May-Oct,62.78664211645672,3812.7860537524293,20
Aedes albopictus,rcp26,2013,Nov-Apr,37.21335788354328,2262.285904910363,20
Aedes albopictus,rcp26,2014,May-Oct,62.7947028278445,3885.0848637859053,20
Aedes albopictus,rcp26,2014,Nov-Apr,37.2052971721555,2307.0739592536565,20
Aedes albopictus,rcp26,2015,May-Oct,62.903589015175825,3884.913554174079,20
Aedes albopictus,rcp26,2015,Nov-Apr,37.096410984824175,2294.512117212781,20
Aedes albopictus,rcp26,2016,May-Oct,63.526283643490544,3921.2369431157144,20
Aedes albopictus,rcp26,2016,Nov-Apr,36.473716356509456,2257.8182161229915,20
Aedes albopictus,rcp26,2017,May-Oct,63.0726267150266,3898.945780144906,20
Aedes albopictus,rcp26,2017,Nov-Apr,36.92737328497339,2288.589463549988,20
Aedes albopictus,rcp26,2018,May-Oct,62.28639394108897,3867.2749710823373,20
Aedes albopictus,rcp26,2018,Nov-Apr,37.71360605891104,2351.4629158509247,20
Aedes albopictus,rcp26,2019,May-Oct,62.6919147982898,3874.3368314267937,20
Aedes albopictus,rcp26,2019,Nov-Apr,37.30808520171019,2310.3845442051816,20
Aedes albopictus,rcp26,2020,May-Oct,63.03669246311748,3856.542459285784,20
Aedes albopictus,rcp26,2020,Nov-Apr,36.96330753688251,2264.727335111312,20
Aedes albopictus,rcp26,2021,May-Oct,62.56314555892017,3873.317598605999,20
Aedes albopictus,rcp26,2021,Nov-Apr,37.43685444107984,2320.433010142412,20
Aedes albopictus,rcp26,2022,May-Oct,62.23818095227388,3884.653596493925,20
Aedes albopictus,rcp26,2022,Nov-Apr,37.76181904772612,2363.767441570672,20
Aedes albopictus,rcp26,2023,May-Oct,62.96741800171177,3965.757839100781,20
Aedes albopictus,rcp26,2023,Nov-Apr,37.03258199828824,2337.8964293886684,20
Aedes albopictus,rcp26,2024,May-Oct,62.77266976898727,3915.7692005600593,20
Aedes albopictus,rcp26,2024,Nov-Apr,37.227330231012736,2328.7331982010337,20
Aedes albopictus,rcp26,2025,May-Oct,62.880769067563755,3923.36844013163,20
Aedes albopictus,rcp26,2025,Nov-Apr,37.119230932436245,2324.9542055713955,20
Aedes albopictus,rcp26,2026,May-Oct,62.26224107124094,3920.55110864797,20
Aedes albopictus,rcp26,2026,Nov-Apr,37.737758928759064,2379.936278559436,20
Aedes albopictus,rcp26,2027,May-Oct,62.21361054380681,3945.864059498893,20
Aedes albopictus,rcp26,2027,Nov-Apr,37.78638945619319,2402.0796395884636,20
Aedes albopictus,rcp26,2028,May-Oct,62.000918329276466,3919.216074756789,20
Aedes albopictus,rcp26,2028,Nov-Apr,37.99908167072353,2405.206116000201,20
Aedes albopictus,rcp26,2029,May-Oct,62.30205077953775,3931.0948449094476,20
Aedes albopictus,rcp26,2029,Nov-Apr,37.69794922046225,2385.4346602132937,20
Aedes albopictus,rcp26,2030,May-Oct,63.183851650766144,3945.27898342621,20
Aedes albopictus,rcp26,2030,Nov-Apr,36.81614834923386,2304.667601241326,20
Aedes albopictus,rcp26,2031,May-Oct,62.41663067079594,3966.4534999478537,20
Aedes albopictus,rcp26,2031,Nov-Apr,37.58336932920407,2393.9741099300077,20
Aedes albopictus,rcp26,2032,May-Oct,62.7007703316156,3981.5390767870535,20
Aedes albopictus,rcp26,2032,Nov-Apr,37.2992296683844,2380.5620278375527,20
Aedes albopictus,rcp26,2033,May-Oct,62.87675706820685,3979.8375460409306,20
Aedes albopictus,rcp26,2033,Nov-Apr,37.12324293179314,2357.491672034447,20
Aedes albopictus,rcp26,2034,May-Oct,62.6288930246035,3976.4647475678585,20
Aedes albopictus,rcp26,2034,Nov-Apr,37.3711069753965,2384.058225798525,20
Aedes albopictus,rcp26,2035,May-Oct,61.860740739174126,3981.7610454502997,20
Aedes albopictus,rcp26,2035,Nov-Apr,38.13925926082587,2459.9118612840007,20
Aedes albopictus,rcp45,2006,May-Oct,63.05441946638104,3799.8549456324713,27
Aedes albopictus,rcp45,2006,Nov-Apr,36.94558053361896,2232.4152081413176,27
Aedes albopictus,rcp45,2007,May-Oct,63.64476127617059,3807.0470570588145,27
Aedes albopictus,rcp45,2007,Nov-Apr,36.3552387238294,2178.861157062554,27
Aedes albopictus,rcp45,2008,May-Oct,63.47131042119446,3832.7511755026594,27
Aedes albopictus,rcp45,2008,Nov-Apr,36.52868957880554,2212.551442663701,27
Aedes albopictus,rcp45,2009,May-Oct,63.084821839079545,3776.2007225934058,27
Aedes albopictus,rcp45,2009,Nov-Apr,36.91517816092045,2214.157132261872,27
Aedes albopictus,rcp45,2010,May-Oct,63.399998736934975,3830.6328968040702,27
Aedes albopictus,rcp45,2010,Nov-Apr,36.600001263065025,2214.02775011253,27
Aedes albopictus,rcp45,2011,May-Oct,63.60691405610338,3821.78199931473,27
Aedes albopictus,rcp45,2011,Nov-Apr,36.39308594389662,2192.795855646022,27
Aedes albopictus,rcp45,2012,May-Oct,63.185925298323404,3817.02223344289,27
Aedes albopictus,rcp45,2012,Nov-Apr,36.814074701676596,2225.6201645764118,27
Aedes albopictus,rcp45,2013,May-Oct,62.69735036143138,3815.9452551083273,27
Aedes albopictus,rcp45,2013,Nov-Apr,37.30264963856862,2274.8204789432048,27
Aedes albopictus,rcp45,2014,May-Oct,63.01732258961674,3846.332713562809,27
Aedes albopictus,rcp45,2014,Nov-Apr,36.98267741038326,2262.5157182526377,27
Aedes albopictus,rcp45,2015,May-Oct,62.86530205855182,3839.8935502664885,27
