organism,scenario,model,bio_year,season_group,base_temp,dd_per_generation,seasonal_dd,seasonal_generation_equivalent,annual_bioyear_dd,dd_share
Cockroach,rcp85,GFDL-ESM2M,2028,May-Oct,15.9,650,1918.947761232475,2.9522273249730384,2726.695686151361,70.37630825392932
Cockroach,rcp85,GFDL-ESM2M,2028,Nov-Apr,15.9,650,807.7479249188859,1.2426891152598245,2726.695686151361,29.62369174607068
Cockroach,rcp85,GFDL-ESM2M,2029,May-Oct,15.9,650,2160.7633861105433,3.3242513632469897,2682.352873419763,80.55477739421215
Cockroach,rcp85,GFDL-ESM2M,2029,Nov-Apr,15.9,650,521.5894873092197,0.8024453650911073,2682.352873419763,19.44522260578785
Cockroach,rcp85,GFDL-ESM2M,2030,May-Oct,15.9,650,2105.8037794450297,3.2396981222231225,2860.48846980239,73.61692947465383
Cockroach,rcp85,GFDL-ESM2M,2030,Nov-Apr,15.9,650,754.6846903573602,1.161053369780554,2860.48846980239,26.383070525346174
Cockroach,rcp85,GFDL-ESM2M,2031,May-Oct,15.9,650,2006.280549020001,3.0865854600307707,2821.011156524075,71.11919938282169
Cockroach,rcp85,GFDL-ESM2M,2031,Nov-Apr,15.9,650,814.7306075040738,1.2534317038524212,2821.011156524075,28.8808006171783
Cockroach,rcp85,GFDL-ESM2M,2032,May-Oct,15.9,650,2084.0718055010757,3.206264316155501,2701.601775463357,77.14208009593243
Cockroach,rcp85,GFDL-ESM2M,2032,Nov-Apr,15.9,650,617.5299699622814,0.950046107634279,2701.601775463357,22.85791990406756
Cockroach,rcp85,GFDL-ESM2M,2033,May-Oct,15.9,650,2088.189079447889,3.2125985837659834,2746.207491950955,76.03901327806814
Cockroach,rcp85,GFDL-ESM2M,2033,Nov-Apr,15.9,650,658.0184125030659,1.012336019235486,2746.207491950955,23.960986721931846
Cockroach,rcp85,GFDL-ESM2M,2034,May-Oct,15.9,650,1901.698669539058,2.9256902608293203,2600.084913820925,73.13986783394849
Cockroach,rcp85,GFDL-ESM2M,2034,Nov-Apr,15.9,650,698.3862442818669,1.0744403758182568,2600.084913820925,26.860132166051503
